Run!	Chạy!
I was hoping you'd tell me.	Tôi đã hy vọng bạn sẽ nói với tôi.
I would like to buy a sofa.	Tôi muốn mua một chiếc ghế sô-pha.
I'd like to study in Paris.	Tôi muốn đi du học ở Paris.
I'll fire Tom if I have to.	Tôi sẽ sa thải Tom nếu tình huống bắt buộc.
I'll never ever forget you.	Em sẽ không bao giờ quên anh.
I'll never trust Tom again.	Tôi không bao giờ tin Tom thêm lần nào nữa.
I'm afraid Tom will say no.	Tôi e là Tom sẽ nói không.
I'm afraid Tom will say no.	Tôi sợ là Tom sẽ nói không.
I'm occupied at the moment.	Hiện tôi đang bận.
I'm occupied at the moment.	Bây giờ, tôi đang bận.
I'm sure you'll understand.	Tôi chắc là bạn sẽ hiểu.
I've decided not to appeal.	Tôi đã quyết định không chống án.
Is it hard to learn French?	Học tiếng Pháp có khó không?
Is there a pen on the desk?	Có một chiếc bút trên bàn phải không?
Is this your tape recorder?	Đây là máy ghi âm dùng băng của bạn?
Is this your tape recorder?	Đây là máy ghi âm của bạn?
Isn't Tom having breakfast?	Tom ăn sáng chưa?
It's already seven o'clock.	Đã bảy giờ rồi.
It's always been like that.	Nó luôn luôn như vậy.
Let's pretend we're aliens.	Hãy coi như chúng ta là người ngoài hành tinh.
Let's pretend we're aliens.	Hãy coi như chúng ta là người xa lạ.
Mary died of breast cancer.	Mary qua đời do bị ung thư vú.
Mary is a very pretty girl.	Mary là một cô gái rất xinh xắn.
My mother is seriously ill.	Mẹ mình đang ốm nặng.
No one expected Tom to win.	Chẳng ai ngờ rằng Tom sẽ thắng.
Outsiders make Tom nervous.	Người lạ khiến Tom bối rối
Please don't speak so fast.	Xin đừng nói nhanh như vậy.
She allegedly murdered him.	Cô ấy bị cáo buộc giết anh ta.
She can't cope with stress.	Cô ấy không thể đương đầu với căng thẳng.
She left just as I arrived.	Nó vừa rời khỏi khi tôi đến.
She left just as I arrived.	Cô ấy vừa rời khỏi khi tôi đến.
She liked poetry and music.	Cô ấy thích thơ và nhạc.
Should I call an ambulance?	Tôi có nên gọi xe cấp cứu không?
Stars can be seen at night.	Những ngôi sao có thể nhìn thấy vào buổi tối.
Stars can be seen at night.	Những ngôi sao có thể nhìn thấy vào ban đêm.
The house has three floors.	Căn nhà có 3 tầng.
The silver is on the table.	Bạc ở trên bàn
The whole world knows that.	Cả thế thới đều biết.
There can be no compromise.	Không thể có sự thỏa hiệp nào.
There's a party after work.	Sẽ có một buổi tiệc khi hết giờ làm việc.
They got through the marsh.	Họ đã đi qua đầm lầy.
Things will only get worse.	Mọi thứ sẽ chỉ xấu đi hơn mà thôi.
This is a book about stars.	Đây là quyển sách về những vì sao.
This is a book about stars.	Đây là quyển sách về những ngôi sao.
This is a waterproof watch.	Đây là đồng hồ chống vô nước.
This is very, very unusual.	Điều này rất rất không bình thường.
Tom decided to go barefoot.	Tom quyết định đi chân trần.
Tom denied all the charges.	Tom chối bỏ mọi lời cáo buộc.
Tom gave something to Mary.	Tom đã đưa cái gì đó cho Mary.
Tom is dressed very nicely.	Tom mặc rất đẹp.
Tom is on trial for murder.	Tom đang âm mưu giết người.
Tom is taking a big chance.	Tom đang có một cơ hội lớn
Tom is watering the garden.	Tom đang tưới nước cho khu vườn.
Tom jumped out of his seat.	Tom nhảy ra khỏi ghế.
Tom only eats organic food.	Tom chỉ ăn thực phẩm hữu cơ.
Tom painted the door white.	Tom sơn cửa màu trắng.
Tom said you were sleeping.	Tom bảo bạn đang ngủ.
Tom saw blood on the floor.	Tom đã nhìn thấy máu trên lầu
Tom seems totally confused.	Tom có vẻ hoàn toàn bối rối.
Tom should hear about this.	Tom nên biết về chuyện này.
Tom spent a year in Boston.	Tom đã ở Boston trong 1 năm.
Tom thinks he's invincible.	Tom nghĩ nó bất tử.
Tom thinks he's invincible.	Tom nghĩ rằng nó bất tử.
Tom wants us to follow him.	Tom muốn chúng ta đi theo anh ấy.
Tom went to Boston in 2003.	Tom tới Boston năm 2003.
Try to keep your eyes open.	Cố mở mắt nhé.
Try to keep your eyes open.	Cố giữ cho mắt cậu mở ra.
We already know you did it.	Chúng tôi đã biết bạn làm điều đó.
We can't compete with Asia.	Chúng ta chẳng thể nào đấu lại Châu Á đâu.
We got caught in the storm.	Chúng tôi bị mắc kẹt vì cơn bão.
We had a wonderful holiday.	Chúng tôi đã có một kỳ nghỉ tuyệt vời.
We have nothing to discuss.	Chúng ta chả có gì để mà thảo luận cả.
We sat in complete silence.	Chúng tôi đã ngồi hoàn toàn im lặng.
We want complete sentences.	Chúng tôi muốn những câu đầy đủ.
What are you talking about?	Bạn đang nói cái gì vậy?
What do you want Tom to do?	Bạn muốn Tom làm gì?
What languages do you know?	Mày biết những ngôn ngữ nào?
What would you like to buy?	Anh muốn mua gì?
What would you like to eat?	Bạn muốn ăn gì?
When did you get my letter?	Bạn có lá thư của tôi từ khi nào?
When was printing invented?	Việc in ấn ra đời khi nào?
Where did she go yesterday?	Hôm qua nó đi đâu vậy?
Where did she go yesterday?	Hôm qua nó đã đi đâu?
Where did she go yesterday?	Hôm qua cô ta đã đi đâu vậy?
Where were you coming from?	Các bạn đến từ đâu?
Which country are you from?	Bạn đến từ nước nào vậy?
Who did you make these for?	Bạn làm những cái này cho ai vậy?
Who told you to contact me?	Ai bảo cậu liên lạc với tôi?
Wow! It's been a long time.	Ồ! Đã từ lâu lâu lắm rồi.
You must continue to train.	Cậu phải tiếp tục luyện tập.
You need to pay in advance.	Bạn cần thanh toán trước.
You should be more careful.	Bạn nên cẩn thận hơn.
You're not sleeping enough.	Bạn đang thiếu ngủ.
"What's your name?" I asked.	Tôi hỏi "tên bạn là gì?".
"What's your name?" I asked.	Tôi hỏi "tên mày là gì?".
A friend told me that story.	Một người bạn đã kể cho tôi nghe câu chuyện đó.
Am I required to get a visa?	Tôi có bắt buộc phải lấy visa?
Am I required to get a visa?	Tôi có bắt buộc phải lấy thị thực?
Barack Obama is a Christian.	Barack Obama là một người theo đạo Cơ-đốc.
Could you speak more slowly?	Bạn có thể nói chậm hơn được không?
Did you hear Tom is in town?	Tom lên thành phố rồi đấy, bạn nghe tin đấy chưa?
Do you believe in evolution?	Bạn có tin vào thuyết tiến hoá không?
Do you want me to paint you?	Mày có muốn tao sơn mày không?
Do you want to hang with us?	Bạn có muốn đi chơi với chúng tôi không?
Don't you want a cup of tea?	Bạn có muốn một cốc cà phê không?
Each student has an adviser.	Mỗi sinh viên sẽ có một người hướng dẫn.
Each student has an adviser.	Mỗi học sinh sẽ có một người hướng dẫn.
Excuse me, where's the exit?	Xin lỗi, lối thoát hiểm nằm ở đâu?
Excuse me, where's the exit?	Xin lỗi, lối thoát hiểm ở đâu vậy?
He composes beautiful poems.	Anh ấy sáng tác những bài thơ đẹp.
He got lost on his way here.	Trên đường đến đây, nó đã đi lạc.
He got lost on his way here.	Nó đã đi lạc đường khi đên đây.
He told me his life's story.	Anh kể tôi nghe chuyện đời của mình
His advice didn't help much.	Lời khuyên của anh ta không giúp được gì nhiều.
How does that make you feel?	Cái đó làm bạn thấy thế nào?
I called my good friend Tom.	Tôi đã gọi Tom bạn thân của tôi.
I can only speak for myself.	Tôi chỉ có thể nói cho chính mình thôi.
I can't go back without you.	Tôi không thể quay về mà không có bạn.
I didn't even know you knew.	Mình không hề biết là cậu cũng biết.
I don't have any more ideas.	Tôi không có thêm ý tưởng nào nữa.
I don't have any more ideas.	Tao không có thêm ý tưởng nào nữa.
I don't see any resemblance.	Tôi không thấy có gì giống nhau hết.
I don't want to be poisoned.	Tôi không muốn bị đầu độc.
I don't want to be poisoned.	Tôi không muốn bị ngộ độc.
I don't want to be poisoned.	Tôi không muốn bị trúng độc.
I have lots of things to do.	Tôi có rất nhiều việc để làm
I have nothing better to do.	Tôi không có gì tốt hơn để làm hết.
I have to work this weekend.	Tôi phải làm việc vào tuần này.
I heard everything you said.	Tớ nghe tất cả những điều cậu nói.
I heard everything you said.	Tớ nghe hết những điều cậu nói.
I like to fish in the river.	Tôi thích câu cá ở sông.
I plan to break up with her.	Tôi định sẽ chia tay với cô ấy.
I prefer to do it by myself.	Tôi thích tự làm lấy.
I prefer to do it by myself.	Tôi muốn tự làm lấy.
I really owe you an apology.	Tôi nợ bạn một lời xin lỗi.
I still want to be with you.	Em vẫn muốn ở bên anh.
I think Tom might be sleepy.	Tôi nghĩ Tom có thể đang buồn ngủ.
I thought you'd be too busy.	Tớ nghĩ cậu quá bận.
I was expecting you at 2:30.	Tôi đã chờ gặp bạn lúc 2:30.
I would like a tourist visa.	Tôi muốn có một thị thực du lịch.
I'll buy a watch for my son.	Tôi sẽ mua một chiếc đồng hồ cho con tôi.
I'll buy a watch for my son.	Tao sẽ mua một chiếc đồng hồ cho con của tao.
I'll never forgive you, Tom.	Tỗi sẽ không bao giờ tha thứ cho cậu, Tom.
I'm glad Mary isn't my wife.	Mừng là Mary không phải là vợ của tôi.
I'm working on another case.	Tôi đang điều tra vụ án khác.
I'm working on another case.	Tôi đang làm việc với trường hợp khác.
I'm working on another case.	Tôi đang làm vụ mới.
I've been learning to drive.	Tôi đang học lái.
I've never seen Tom so busy.	Tôi chưa từng thấy Tom bận như thế.
It sounds like you're tired.	Nghe có vẻ như bạn đang mệt.
It's just around the corner.	Ngay quanh góc phố.
Next time I'll come earlier.	Lần tới tôi sẽ đến sớm hơn.
No man is wise at all times.	Không có người lúc nào cũng khôn ngoan.
Paying for it was difficult.	Trả tiền cho nó là khó khăn
She decided to quit her job.	Chị ấy quyết định thôi việc.
She is used to living alone.	Cô ta đã từng sống một mình.
She likes painting pictures.	Cô ta thích vẽ tranh.
She may use this typewriter.	Cô ấy có thể dùng cái máy đánh chữ này.
She turned and began to cry.	Cô ấy ngoảnh mặt đi và bắt đầu khóc.
She will be here in no time.	Cô ta sẽ có mặt ngay.
The birds are flying around.	Những cánh chim đang chao lượn.
The more people, the better.	Càng đông càng vui.
The soup is a bit too salty.	Món xúp hơi mặn.
The television doesn't work.	Ti vi không lên hình.
The television doesn't work.	Ti vi hỏng rồi.
The train is always on time.	Chiếc xe lửa này luôn luôn đúng giờ.
There could be consequences.	Có thể sẽ có hậu quả.
There is frost on the grass.	Có sương muối ở trên cỏ.
There's just one chair left.	Chỉ có một cái ghế còn lại.
They had a rest for a while.	Họ nghỉ ngơi một lát.
This song is familiar to us.	Bài hát này quen thuộc đối với chúng tôi.
This song is familiar to us.	Bài hát này quen thuộc với chúng tôi.
This song is familiar to us.	Bài hát này quen thuộc với tụi tao.
Tom dialed the wrong number.	Tom đã quay nhầm số điện thoại.
Tom dialed the wrong number.	Tom đã gọi nhầm số điện thoại.
Tom dialed the wrong number.	Tom đã bấm nhầm số điện thoại.
Tom didn't answer our calls.	Tom đã không trả lời các cuộc gọi của chúng tôi.
Tom got to Boston yesterday.	Tom đã đi Boston hồi hôm qua.
Tom got to Boston yesterday.	Hôm qua Tom đã đi Boston.
Tom got to Boston yesterday.	Tom đã đi Boston hôm qua rồi.
Tom has been expecting this.	Tom đã biết trước chuyện này.
Tom has called an ambulance.	Tom đã gọi một xe cứu thương.
Tom is shorter than average.	Tom thấp hơn mức trung bình.
Tom looked tired, but happy.	Tom trông có vẻ mệt mỏi nhưng vui vẻ.
Tom said you hurt your back.	Tom nói ấy tự làm đau lưng mình.
Tom spent the night in jail.	Tom ở trong nhà giam cả đêm.
Tom tried to get some sleep.	Tom đã cố gắng đi ngủ.
Try this on. It's your size.	Mặc thử đi. Size này vừa với bạn nè.
We are in need of some food.	Chúng tôi cần một ít thức ăn.
We bought this in Australia.	Chúng tôi mua nó ở Úc.
We got the job done on time.	Chúng tôi đã hoàn thành công việc đúng lúc.
We'd better get out of here.	Chúng ta tốt hơn hết là rời khỏi đây.
We're one big, happy family.	Chúng ta là một gia đình lớn và hạnh phúc.
We're stuck with each other.	Chúng tôi bị kẹt lại với nhau.
What languages do you speak?	Bạn nói tiếng gì?
Which club do you belong to?	Bạn ở trong câu lạc bộ nào vậy?
Why don't you come visit us?	Sao bạn không tới thăm tụi tôi?
Won't you share my umbrella?	Dùng chung dù với tôi không?
You have to let me help you.	Cậu phải để mình giúp.
You may have a slight fever.	Có thể anh bị cảm nhẹ rồi.
Can you tell us what Tom did?	Bạn có thể kể cho tôi Tom đã làm gì không?
Children need a lot of sleep.	Trẻ em cần ngủ nhiều
Come on. I'm taking you home.	Thôi nào. Mình sẽ đưa bạn về.
Do what you believe is right.	Làm những gì bạn tin là đúng.
Do you take American Express?	Ấy có dùng hãng American Express không?
He has earned a lot of money.	Nó đã kiếm được rất nhiều tiền.
He has earned a lot of money.	Anh ấy đã kiếm được rất nhiều tiền.
He put the book on the shelf.	Cậu ta đặt cuốn sách lên giá.
He took it from her by force.	Anh ta ép cô ấy để giành lấy nó.
He tried hard, but he failed.	Anh ta nỗ lực hết sức nhưng anh ta đã thất bại.
He was beaten black and blue.	Anh ta bị đánh bầm dập.
He's waiting for you at home.	Anh ta đang đợi bạn ở nhà.
Her book is very interesting.	Cuốn sách của cô ấy rất thú vị.
His house is near the subway.	Nhà anh ta ở gần đường ngầm.
His son wants to be a lawyer.	Con trai ông ấy muốn trở thành luật sư.
How did you stain your dress?	Thế nào mà mày đã làm ố cái áo?
How did you stain your dress?	Thế nào mà bạn đã làm ố cái áo?
How far is it to the airport?	Đến sân bay xa bao nhiêu?
How many rackets do you have?	Mày có mấy cây vợt?
How many rackets do you have?	Tụi bây có mấy cây vợt?
How many rackets do you have?	Các bạn có bao nhiêu cây vợt?
How many rackets do you have?	Bạn có mấy cây vợt?
I bought this book yesterday.	Tôi mua cuốn sách này ngày hôm qua.
I can't take another day off.	Tôi không thể nghỉ thêm một ngày nữa.
I couldn't afford to do that.	Tôi không đủ khả năng làm việc đó.
I couldn't afford to do that.	Tôi không thể đảm đương được việc đó.
I didn't want this to happen.	Tôi cũng không muốn vụ này xảy ra.
I disagree with that comment.	Tôi không đồng ý với bình luận này.
I don't want to go to school.	Tôi không muốn đi học.
I don't want to go to school.	Tôi không muốn đến trường.
I don't want to learn French.	Tôi không muốn học tiếng Pháp.
I got up at six this morning.	Sáng nay tôi thức dậy lúc 6 giờ.
I had trouble getting a taxi.	Tôi đã gặp khố khăn để kiếm một xe tắc xi.
I hope that you will like it.	Hy vọng bạn thích nó.
I relayed the message to her.	Tôi đã chuyển tin nhắn cho cô ta.
I relayed the message to her.	Tôi đã chuyển tin nhắn cho bà ấy.
I study English and Japanese.	Tôi học tiếng Anh và tiếng Nhật.
I was asked to open the gate.	Có người bào tôi đi mở cánh cổng.
I was here when Tom got here.	Tôi đã ở đây khi Tom đến.
I'd like a hotel reservation.	Tôi muốn đặt phòng khách sạn.
I'd like a little more water.	Tôi muốn thêm một ít nước.
I'll look into it right away.	Tôi sẽ tìm hiểu nó ngay lập tức.
I'm going to change my shirt.	Tôi sẽ thay áo phông.
I'm going to get us some tea.	Tôi sẽ đi lấy cho chúng ta một ít trà.
I'm learning to speak French.	Tôi đang học nói tiếng Pháp.
I'm not going to forgive you.	Tôi sẽ không tha thứ cho bạn.
I'm waiting for my boyfriend.	Tôi đang đợi bạn trai của tôi.
I'm waiting for my boyfriend.	Tao đang đợi bồ của tao.
I've brought a cup of coffee.	Tôi vừa đem một cốc cà phê đến.
Isn't this against the rules?	Không phải điều này trái luật sao?
It's a very complex question.	Đó là một câu hỏi phức tạp.
Let's get ready for Saturday.	Chuẩn bị cho ngày thứ bảy nào.
Mary allowed Tom to kiss her.	Mary cho phép Tom hôn mình.
Maybe I'll call you sometime.	Có lẽ tôi sẽ gọi cho cậu lúc nào đó.
My computer's acting strange.	Máy tính của tôi chạy kỳ lạ lắm.
My tea is a little too sweet.	Tách trà của tôi hơi ngọt một chút.
No one is coming to save you.	Không ai sẽ đến cứu bạn.
No one is coming to save you.	Không ai sẽ đến cứu mày.
Our investigation is ongoing.	Cuộc điều tra của chúng tôi vẫn tiếp tục.
Please get me hotel security.	Làm ơn cho tôi gặp bảo vệ khách sạn.
Please have some copies made.	Làm ơn phô tô thêm vài bản nhé.
Please wait here for a while.	Xin đợi ở đây một chút.
Prices will continue to rise.	Giá cả sẽ tiếp tục tăng.
Reading books is interesting.	Đọc sách thì rất thú vị.
She has a strong personality.	Cô ta có cá tính mạnh.
She is a friend of my wife's.	Cô ấy là bạn của vợ tôi.
She is a friend of my wife's.	Nó là bạn của vợ tao.
Some of these apples are bad.	Một vài quả táo torng đống này bị hư.
Stop acting like such a fool.	Đừng hành xử như kẻ ngốc nữa.
That happened three days ago.	Điều đó xảy ra vào ba ngày trước.
That wasn't part of the plan.	Việc đó nằm ngoài kế hoạch
That's not my favorite topic.	Chủ đề đó tôi không thích.
The boy took the radio apart.	Thắng bé tháo cái đài ra từng phần.
The car replaced the bicycle.	Xe hơi đã thay thế xe đạp.
The cat didn't move a muscle.	Con mèo nó không cử động cơ.
The man is wanted for murder.	Người đàn ông bị truy nã về tội giết người.
There seems no need to hurry.	Ở đó dường như không cần phải vội đâu.
There was nothing else to do.	Không còn gì khác để làm nữa.
They gave us a warm greeting.	Họ chào đón chúng tôi một cách nồng nhiệt.
This is my mother's computer.	Đây là máy tính của mẹ tôi.
This is the very best method.	Đây chính là phương pháp tốt nhất.
This will only take a minute.	Chỉ mất một phút thôi.
Those are our teachers' cars.	Mấy chiếc xe đó là xe của thầy cô chúng ta đó.
Tom came out of the building.	Tom bước ra khỏi toà nhà.
Tom concentrated on his work.	Tom tập trung vào công việc.
Tom couldn't afford a lawyer.	Tom không đủ khả năng chi trả để thuê luật sư.
Tom does have some new ideas.	Tom đúng là có một vài ý tưởng mới.
Tom does that more than Mary.	Tom làm điều đó nhiều hơn Mary.
Tom does that more than Mary.	Tom làm điều đó nhiều hơn Mary làm.
Tom has been very supportive.	Tom sẵn sàng giúp.
Tom has known Mary for years.	Tom quen Mary nhiều năm.
Tom has more money than I do.	Tom có nhiều tiền hơn tôi.
Tom has to be taller than me.	Tom phải cao hơn tôi chứ.
Tom is a fool, if you ask me.	Tom là một thằng hề, nếu bạn hỏi tôi.
Tom is extremely competitive.	Tom cực kỳ hiếu thắng.
Tom is fighting for his life.	Tom đang chiến đấu vì sự sống.
Tom often takes long showers.	Tom thường tắm lâu dưới vòi sen.
Tom wrung the chicken's neck.	Tom bẻ cổ con gà.
Tom's father is an alcoholic.	Cha của Tom là một kẻ nghiện rượu.
Turn down the volume, please.	Làm ơn, vặn nhỏ loa xuống.
Turn left at the next corner.	Hãy rẽ trái ở góc phố tới.
We have to move very quickly.	Chúng ta phải di chuyển rất nhanh.
We need emergency assistance.	Chúng tôi cần giúp đỡ khẩn cấp.
We're well ahead of schedule.	Chúng ta ở trước hạn khá xa.
We've met a few times before.	Trước đây chúng ta đã gặp vài lần.
What other options do I have?	Tôi còn có sự chọn lựa nào khác nữa?
What're you so nervous about?	Cái gì làm bạn lo lắng như vậy?
Where did you get that water?	Bạn lấy nước đó từ đâu vậy?
Where did you see that woman?	Bạn thấy người phụ nữ đó ở đâu?
Who wants to play volleyball?	Ai muốn chơi bóng chuyền nào?
Why don't you do it yourself?	Sao không tự làm đi?
Why don't you eat vegetables?	Sao không ăn rau vậy?
Winter is my favorite season.	Mùa đông là mùa tôi thích nhất.
You didn't tell him anything?	Bạn không nói với anh ấy cái gì à?
You should bear that in mind.	Bạn nên giữ nó trong đầu.
You want me to go, don't you?	Bạn muốn tôi đi, phải không?
You'll have no more problems.	Bạn sẽ không có thêm bất cứ một vấn đề nào nữa.
You're going to do just fine.	Bạn sẽ tốt thôi.
"Thank you." "You're welcome."	"Cám ơn." "Không có chi."
All that glitters is not gold.	Mớ kim loại đó không phải vàng.
All that glitters is not gold.	Những thứ lấp lánh đó không phải vàng.
Birds fly south in the winter.	Chim bay về phía nam vào mùa đông.
Can I help you with something?	Tôi có thể giúp bạn gì không?
Can I help you with something?	Tôi có thể giúp gì không?
Could I please use your phone?	Tôi có thể dùng điện thoại của bạn được không?
Could you please speak slower?	Bạn nói chậm một chút được không?
Do it the way he tells you to.	Làm theo cách mà nó đã chỉ mày.
Do it the way he tells you to.	Làm theo cách mà anh ấy đã chỉ bạn.
Do not turn off your computer.	Đừng tắt máy của bạn.
Do not turn off your computer.	Đừng tắt máy của mày.
Do not underestimate my power.	Đừng đánh giá thấp quyền hạn của tôi.
Fill in your name and address.	Điền tên và địa chỉ của bạn vào.
He has fallen in love with me.	Anh ấy phải lòng tớ.
He says we should go that way.	Anh ta nói chúng ta nên đi đường đó.
How am I going to impress Tom?	Tôi sẽ gây ấn tượng với Tom bằng cách nào đây?
I bought a set of table linen.	Tôi mua một bộ khăn trải bàn.
I didn't catch your last name.	Tôi không nghe được tên cuối của bạn.
I didn't catch your last name.	Tôi không nghe được họ của bạn.
I didn't mean to make him cry.	Tôi không có ý làm cho cậu ta khóc.
I don't have anything to read.	Tôi không có cái gì để dịch.
I fed the leftovers to my dog.	Tôi cho chó ăn chỗ thức ăn thừa.
I finished my math assignment.	Tôi đã hoàn thành bài tập toán của tôi rồi.
I got no response from anyone.	Tôi không có phản hồi nào từ bất kỳ ai.
I guess you'll need some help.	Tôi đoán là bạn sẽ cần giúp đỡ.
I have nothing special to say.	Tôi không có gì đặc biệt để nói.
I have three younger brothers.	Tôi có ba em trai.
I heard that he was very rich.	Tôi nghe nói anh ta đã rất giàu.
I informed him of her arrival.	Tôi đã thông báo cho anh ấy là cô ấy sẽ đến.
I know what's happened to Tom.	Tôi biết điều gì đã xảy với Tom.
I really need to hit somebody.	Tôi muốn đấm ai đó cho thỏa thích.
I should be home with my wife.	Tôi nên ở nhà với vợ.
I swore I'd never tell anyone.	Tôi đã thề là sẽ không kể cho bất kỳ ai.
I think I did the right thing.	Tôi nghĩ tôi đã làm một việc đúng.
I thought we had this settled.	Tôi nghĩ là chúng ta đã giải quyết vấn đề này rồi.
I want to ask you a big favor.	Tôi muốn hỏi bạn một đặc ân lớn.
I want to be more independent.	Tôi muốn tự lập hơn.
I wrote the answers carefully.	Tôi đã viết những câu trả lời cẩn thận
I'll be back within two hours.	Mình sẽ quay lại trong vòng 2 tiếng.
I'll pay attention. I promise.	Tôi sẽ chú ý. Tôi hứa
I'll protect her with my life.	Tôi sẽ bảo vệ cô ấy bằng cả mạng sống của tôi.
I'm not in charge of anything.	Mình không phụ trách việc gì cả.
I'm sorry I misunderstood you.	Tôi xin lỗi vì đã hiểu lầm bạn.
I'm sorry I misunderstood you.	Tao xin lỗi vì đã hiểu lầm mày.
I'm sorry I misunderstood you.	Tôi xin lỗi vì đã hiểu nhầm bạn.
I'm tired of eating fast food.	Tôi ngán thức ăn nhanh quá rồi.
I'm waiting for my girlfriend.	Tao đang đợi bạn gái.
I'm waiting for my girlfriend.	Tôi đang đợi bạn gái của tôi.
I've been tormented by regret.	Tôi đã bị dằn vặt bởi sự hối hận.
Is this really such a problem?	Đây có thực sự là vấn đề như thế?
It is likely to rain tomorrow.	Trời gần như là sẽ mưa vào ngày mai.
It is never too late to learn.	Không bao giờ trễ quá để học hỏi.
It is rude to point at people.	Chỉ vào người khác là bất lịch sự.
Japan is not as big as Canada.	Nhật bản không lớn bằng Gia nã đại.
Japan is not as big as Canada.	Japan không to bằng Canada.
Japan is not as big as Canada.	Japan không bự bằng Canada.
Let's discuss the matter here.	Chúng ta hãy cùng thảo luận vấn đề ở đây.
Let's move over to that table.	Chúng ta chuyển qua cái bàn đó nha.
Let's take a ten-minute break.	Hãy nghỉ giải lao 10 phút.
Look at me when I talk to you!	Làm ơn nhìn mặt tôi khi nói chuyện!
My assistant will handle that.	Trợ lý của tôi sẽ xử lý việc đó.
My eyes get tired very easily.	Mắt tôi rất dễ bị mỏi.
My father is still ill in bed.	Cha của tôi vẫn đang bị bệnh nằm trên giường.
My father is still ill in bed.	Cha của tôi vẫn đang bị bệnh ở trên giường.
None of them could understand.	Không ai trong số họ có thể hiểu.
Our school is in this village.	Trường của chúng tôi ở trong làng này.
Our school is in this village.	Trường của chúng tôi ở trong ngôi làng này.
Remind him to come home early.	Nhắc anh ấy về nhà sớm nhé.
She brushed her husband's hat.	Cô ta chải sạch cái nón của chồng mình.
She is poor, but she is happy.	Cô ta nghèo, nhưng cô ấy rất hạnh phúc.
She's really smart, isn't she?	Cô ấy thông minh lắm phải không?
She's really smart, isn't she?	Cô ấy thực thông minh, có phải không?
Swimming develops our muscles.	Bơi lội làm phát triển cơ bắp.
That clock is one minute fast.	Cái đồng hồ đó chạy nhanh hơn một phút.
That's why I need to meet Tom.	Đó là lý do tại sao tôi cần gặp Tom.
The British finally retreated.	Người Anh cuối cùng cũng rút lui.
The car crashed into the wall.	Cái xe đã đụng vô tường.
The car crashed into the wall.	Chiếc xe hơi đã đâm vào tường.
The car crashed into the wall.	Chiếc xe ô tô đã đâm vào tường.
The letter was written by Tom.	Lá thư được viết bởi Tom.
The schoolyard was very small.	Sân trường rất nhỏ.
The shy boy murmured his name.	Thẳng nhóc xấu hổ lắp bắp tên của nó.
The snow melted away in a day.	Tuyết tan hết trong một ngày.
There is only one thing to do.	Chỉ còn một việc cần làm.
There should be a bus service.	Nên có một dịch vụ xe buýt.
There's no cure for stupidity.	Không có cách nào chữa được sự ngu dốt.
This film is based on a novel.	Bộ phim được dựng dựa trên một cuốn tiểu thuyết.
Tom bought a ticket to Boston.	Tom mua một tấm vé tới Boston.
Tom couldn't sleep last night.	Tôm không thể ngủ tối qua.
Tom has never heard Mary sing.	Tom chưa từng nghe Mary hát.
Tom is going to join our club.	Tom sẽ tham gia câu lạc bộ của chúng ta.
Tom is just learning to crawl.	Tom mới đang tập bò thôi.
Tom is the kind of man I like.	Tom là mẫu đàn ông tôi thích.
Tom is the tallest man I know.	Tom là người cao nhất mà tôi biết.
Tom isn't supposed to be here.	Tom không được trông đợi có mặt ở đây.
Tom isn't sure how to proceed.	Tom không biết chắc sẽ tiếp tục bằng cách nào.
Tom wanted something to drink.	Tom muốn uống cái gì đó.
Tom wants to eat here tonight.	Tom muốn ăn tối ở đây hôm nay.
Wash your hands before eating.	Rửa tay trước khi ăn.
We don't know how to find Tom.	Chúng tôi không biết cách nào để tìm được Tom.
We stayed at an economy hotel.	Tôi ở tại một khách sạn rẻ tiền.
We weren't expecting visitors.	Lúc đó chúng tôi không đợi khách nào cả.
What are your long term plans?	Kế hoạch dài hạn của bạn là gì?
What did you do last vacation?	Kỳ nghỉ vừa rồi bạn đã làm gì?
What else does Tom need to do?	Tom còn phải làm gì khác không?
What's the big occasion today?	Hôm nay là một ngày trọng đại
When did you guys decide that?	Các anh đã quyết định từ khi nào vậy?
When did you visit Kyoto last?	Bạn thăm Kyoto lần cuối cùng khi nào?
When did you visit Kyoto last?	Bạn thăm Kyoto lần cuối khi nào?
When will they give a concert?	Bao giờ họ tổ chức hòa nhạc nhỉ?
Why do rabbits have long ears?	Tại sao thỏ lại có đôi tai dài?
Will you be home this evening?	Tối nay anh về nhà chứ?
You are so childish sometimes.	Đôi lúc bạn thật ấu trĩ.
You don't have to sit with me.	Bạn không phải ngồi với tôi.
You don't have to sit with me.	Bạn không phải ngồi tiếp tôi.
You don't have to sit with me.	Bạn không phải ngồi nói chuyện với tôi.
You don't really know, do you?	Bạn thực sự không biết, phải không?
You know about Tom, don't you?	Anh biết Tom mà, phải không?
You're sick. You have to rest.	Bạn bị ốm rồi, nghỉ ngơi cho nhiều đi.
A car is faster than a bicycle.	Xe hơi thì nhanh hơn xe đạp.
A car is faster than a bicycle.	Ôtô nhanh hơn xe đạp.
After we ate, we went to sleep.	Sau khi ăn, chúng tôi đi ngủ.
After we ate, we went to sleep.	Sau khi ăn, tụi tao đi ngủ.
After we ate, we went to sleep.	Sau khi ăn, bọn tớ đi ngủ.
Apparently, that's not correct.	Rõ ràng là điều đó không đúng.
